,venue,latitude,longitude,price_for_two,price_range,rating,address
248,Dairy Den,17.386458,78.434162,350.0,1.0,3.3,"Plot 34, Navodaya Colony, Mehdipatnam, Hyderabad"
249,Kinara Grand,17.380181,78.429606,700.0,2.0,3.9,"Pillar 92, Near Mehdipatnam, Indra Nagar, Attapur, Hyderabad"
250,MoMo Cafe - Courtyard By Marriott,17.425258,78.48698,2700.0,4.0,3.9,"Opposite Hussain Sagar Lake, Tank Bund Road, Near Necklace Road, Hyderabad"
251,MoMo Cafe - Courtyard By Marriott,17.425258,78.48698,2700.0,4.0,3.9,"Opposite Hussain Sagar Lake, Tank Bund Road, Near Necklace Road, Hyderabad"
252,Bidri - Hyderabad Marriott Hotel & Convention Centre,17.425258,78.48698,3000.0,4.0,4.1,"Hyderabad Marriott Hotel & Convention Centre, Tank Bund Road, Opposite Hussain Sagar Lake, Necklace Road, Hyderabad"
253,0.0,0.0,0.0,0.0,0.0,0.0,
254,Village Aaharam,17.418091,78.361854,350.0,1.0,4.0,"Nanakramguda Road, Opposite Green Grace Apartment, Khajaguda, Gachibowli, Hyderabad"
255,Balaji Pranav Family Dhaba,17.331343,78.438544,600.0,2.0,3.6,"Opposite National Police Academy, Raghvendra Nagar Society, Shivrampalli, Shamshabad, Hyderabad"
256,Balaji Santosh Family Dhaba,17.543801,78.491382,600.0,2.0,3.4,"Beside Corporation Bank, Sumitra Complex, Main Road, Kompally, Hyderabad"
257,Delicious Pizza,17.528109,78.485521,400.0,1.0,3.2,"NCC Enclave, Ruby Block, NH 44, Satyam Enclave, Kompally, Hyderabad"
258,Kulture Sports Bar,17.531273,78.487434,700.0,2.0,0,"Plot 3, 9 & 8/P, Survey 127, Ground Floor, Near Prajay Apartments, Dundigal, Medchal-Malkajgiri, Kompally, Hyderabad"
259,Udipi's Upahar,17.470077,78.365703,150.0,1.0,3.6,"H-1-112/73, Adjacent City Union Bank, Gachibowli - Miyapur Road, Hyderabad Hanuman Nagar, Silpa Park, Kondapur"
260,Palamuru Grill & Bar,17.469874,78.365961,1100.0,3.0,3.3,"Plot 25 C, Raghavendra Colony, Near RTO Office, Kondapur, Hyderabad"
261,0.0,0.0,0.0,0.0,0.0,0.0,
262,KFC,17.423308,78.427912,450.0,1.0,3.8,"Ground Floor, Cinemax Building, RK Cineplex, Road 2, Banjara Hills, Hyderabad"
