,venue,latitude,longitude,price_for_two,price_range,rating,address
0,KFC,17.481579,78.555268,450.0,1.0,4.1,"A 13, G1, PNR SSV Complex, Kapra Muncipality, A S Rao Nagar, Secunderabad"
1,Parivaar,17.477038,78.563681,1000.0,3.0,4.0,"Plot 239, ECIL, Secunderabad"
2,Kinara Grand,17.482196,78.553377,700.0,2.0,3.6,"Opposite ICICI Bank, A S Rao Nagar, Secunderabad"
3,McDonald's,17.476993,78.564792,500.0,2.0,4.0,"456/1p, HPCL Outlet, A S Rao Nagar, Secunderabad"
4,Lassi Shop,17.409005,78.46052,200.0,1.0,3.5,"6S 2S, 146/A/4, Opposite Shadan College, Chintal Basti Bus Stop, Khairatabad, Hyderabad"
5,Jewel of Nizam - The Golkonda Hotel,17.404361,78.454107,2200.0,4.0,4.3,"The Golkonda Hotel, 10-1-124, Banjara Hills, Masab Tank, Hyderabad"
6,Good Cow Cafe,17.431836,78.408325,900.0,2.0,4.1,"Plot 479/B, Road 21, Near Rayalaseema Ruchulu, Jubilee Hills, Hyderabad"
7,Shahi Dastarkhwan,17.402515,78.461426,800.0,2.0,4.2,"Mustafa Apartment, Opposite Jamuna Ganga Hotel, Lakdikapul, Hyderabad"
8,Dwaraka Tiffins,17.405375,78.463669,300.0,1.0,3.4,"Hotel Rukmini Riviera, Opposite Gobal Hospital, Lakdikapul, Hyderabad"
9,Dine Hill,17.405309,78.451687,600.0,2.0,4.0,"One Downing Street, Masab Tank, Hyderabad"
10,Paradise Biryani,17.403812,78.453018,700.0,2.0,4.0,"Cross Road, Masab Tank, Hyderabad"
11,Kamat Hotel,17.404293,78.46739,450.0,1.0,3.8,"6-1-60/1, Secretariat Road, Near RBI, Saifabad, Lakdikapul, Hyderabad"
12,Taiba Bakery & Cafe,17.402575,78.456856,400.0,1.0,4.0,"289/24, Shanti Nagar Colony, Masab Tank, Hyderabad"
13,Hotel Sandarshini,17.405295,78.451698,700.0,2.0,4.1,"10-5-2/B, Masab Tank, Hyderabad"
14,Moonlight Bar - Best Western Ashoka,17.403953,78.46552,950.0,2.0,3.2,"6-1-70, Best Western Ashoka, Lakdikapul, Hyderabad"
15,Mughal Restaurant,17.40638,78.464175,500.0,2.0,3.7,"6-1-1059/1/5-9, Habeeb Mansion, Opposite Vasavi Hospital, Lakdikapul, Hyderabad"
16,Poorna Hotel,17.406073,78.465469,150.0,1.0,4.1,"Opposite Telephone Exchange, Saifabad, Lakdikapul, Hyderabad"
17,Poorna Hotel,17.406073,78.465469,150.0,1.0,4.1,"Opposite Telephone Exchange, Saifabad, Lakdikapul, Hyderabad"
18,Dine Hill,17.405309,78.451687,600.0,2.0,4.0,"One Downing Street, Masab Tank, Hyderabad"
19,Three Cheers Restaurant,17.40698,78.468166,600.0,2.0,3.8,"Shop 17 & 18, Taramandal Complex, Behind Raymond Showroom, Saifabad, Lakdikapul, Hyderabad"
20,Pragati Tiffin Center,17.38813,78.48127,150.0,1.0,4.3,"H V S Road, Hanuman Tekdi, Near Pargati College, Koti, Hyderabad"
21,Santosh Dhaba Exclusive,17.388353,78.479571,500.0,2.0,4.2,"8-2-629/1/2, Hanuman Tekdi, Near Hotel Jaya International Lane, Abids, Hyderabad"
22,Season The Restaurant,17.388091,78.477744,200.0,1.0,0,"Hotel Mandakini, Jaya International, Hanuman Tekdi, Abids, Hyderabad"
23,Sagar Papaji Ka Dhaba,17.388343,78.479209,800.0,2.0,4.1,"Plot 4-1-365/F/1, Reddy Hostel Road, Hanuman Tekdi, Abids, Hyderabad"
24,KFC,17.394995,78.475845,450.0,1.0,4.0,"Gun Foundry, Opposite SBI, Abids, Hyderabad"
25,M S Tiffin & Chat,17.394213,78.476667,100.0,1.0,3.6,"Behind Mayur Kushal Complex, Abids, Hyderabad"
26,Shawarama Time,17.392527,78.477454,200.0,1.0,0,"Atria Mall, Beside Taj Mahal Hotel, Abids, Hyderabad"
27,Surabhi Grand,17.404954,78.515177,800.0,2.0,3.7,"2/2-3, 4th Floor, Sresthta Origin, Shivam Junction, Amberpet, Hyderabad"
28,Alhamdulillah Hotel,17.39072,78.462955,450.0,1.0,4.1,"Door 11-2-284, Habeeb Nagar Road, Aghapura, Nampally, Hyderabad"
29,Celeste - Taj Falaknuma Palace,17.334313,78.467524,7000.0,4.0,4.3,"Taj Falaknuma Palace, Falaknuma, Hyderabad"
30,Al Hashmi Arabian Shawarma & Fast Food,17.347491,78.470497,300.0,1.0,3.4,"Shop 23-5-67, Masjid-E-Kambal Posh, Near Home Land, Syed Ali Chauthra, Charminar, Hyderabad"
31,Govind Dosa,17.364172,78.473804,300.0,1.0,4.1,"Gulzar Hauz, Charminar, Hyderabad"
32,Pista House,17.356443,78.473413,500.0,2.0,4.1,"Shop 20, 4-140, Shalibanda Road, Charminar, Hyderabad"
33,Sherton Bakery,17.391379,78.512213,250.0,1.0,3.6,"Opposite Maharana Pratap Function Hall, Road 6, Amberpet, Hyderabad"
34,Sri Raghavendra Tiffin's,17.399112,78.512221,200.0,1.0,3.6,"Prashanti Nagar, APHB Colony, Amberpet, Hyderabad"
35,Balaji Santosh Family Dhaba,17.39245,78.510702,600.0,2.0,3.8,"Plot 6, Shivam Road, Tilak Nagar, Amberpet, Hyderabad"
36,Papaji-Da-Dhaba,17.397575,78.512088,500.0,2.0,3.9,"Ground Floor, Shivananda Living, Shivam Road, Nallakunta, Hyderabad"
37,Mekong - Marigold Hotel,17.436455,78.454267,3000.0,4.0,4.6,"Green Lands, Begumpet, Hyderabad"
38,Blue Fox,17.437458,78.445975,1000.0,3.0,3.6,"Plot No 3, Regency Plaza, Behind HUDA Mythrivanam, Ameerpet, Hyderabad, Telangana 500016"
39,Kritunga Restaurant,17.438073,78.442817,700.0,2.0,3.8,"8-3-214/2/41, Opposite Maitrivanam, West Srinivas Colony, Ameerpet, Hyderabad"
40,Chop Sticks,17.429886,78.445549,300.0,1.0,4.0,"8-3-960/9, Srinagar Colony, Hyderabad"
41,Minerva Coffee Shop,17.437189,78.445926,800.0,2.0,3.1,"1st Floor,beside Prime Hospital,Near Mythri Vihar, Road 3, Ameerpet, Hyderabad"
42,Santosh Dhaba,17.439484,78.448229,450.0,1.0,3.9,"7-1-404/1, Satyam Theatre Road, Sanabai Temple, Ameerpet, Hyderabad"
43,Good Cow Cafe,17.431836,78.408325,900.0,2.0,4.1,"Plot 479/B, Road 21, Near Rayalaseema Ruchulu, Jubilee Hills, Hyderabad"
44,New Sher-e-Punjab Dhaba,17.438522,78.452065,600.0,2.0,3.7,"Opposite Kanya Gurukul High School, Dharam Karam Road, Ameerpet, Hyderabad"
45,Salasar Santosh Dhaba,17.443905,78.448789,550.0,2.0,3.5,"7-1-215/6 to 9, Yellamma Temple Road, Balkampet, S R Nagar, Hyderabad"
46,0.0,0.0,0.0,0.0,0.0,0.0,
47,Haveli,17.436291,78.457295,800.0,2.0,2.7,"1st Floor, My Home Tycoon Building, Kundanbagh, Begumpet, Hyderabad"
48,Sitara Grand,17.431224,78.447985,800.0,2.0,2.4,"8-3-945/1, Vishnu Classic, Ameerpet, Hyderabad"
49,Kuchipudi - Katriya Hotels,17.424846,78.459518,1000.0,3.0,2.6,"Katriya Hotels, 8, Raj Bhavan Road, Somajiguda, Hyderabad"
50,FNP Cakes N More,17.435481,78.454921,500.0,2.0,2.8,"7/1/25/1, Ground Floor, Greenland Road, Opposite Canara Bank, Ameerpet, Hyderabad"
51,Akshara Restaurant,17.439945,78.44226,800.0,2.0,3.1,"1st Floor, SR Nagar Main Road, Opposite ICICI Bank, SR Nagar, Hyderabad"
52,KFC,17.40149,78.485785,450.0,1.0,4.1,"Shop 002, 3-6-196/197, Prime Plaza, Himayath Nagar, Hyderabad"
53,Chinese Fast Food,17.406472,78.497762,200.0,1.0,2.9,"RTC Cross Roads, Opposite Bawarchi, Nallakunta, Hyderabad"
54,Blue Fox,17.401313,78.485752,1200.0,3.0,3.9,"3-6-199/1, Himayath Nagar, Hyderabad"
55,Gelatissimo,17.402022,78.484032,350.0,1.0,4.1,"G.S Towers, AP State Housing Board, Himayath Nagar, Hyderabad"
56,Minerva Coffee Shop,17.401198,78.485693,800.0,2.0,4.2,"3-6-199/1, Ground Floor, Himayath Nagar, Hyderabad"
57,The Budapest Bakehouse,17.403988,78.481987,500.0,2.0,4.2,"Shop 1/A, 3-6-431, Jamuna Plaza, Liberty Road, Himayath Nagar, Hyderabad"
58,The Vintage Restaurant & Bar,17.406439,78.496086,700.0,2.0,3.7,"1-1-111 & 112, RTC X Roads, Chikadpally, Nallakunta, Hyderabad"
59,KFC,17.40149,78.485785,450.0,1.0,4.1,"Shop 002, 3-6-196/197, Prime Plaza, Himayath Nagar, Hyderabad"
60,New Astoria Restaurant,17.406533,78.497202,500.0,2.0,3.8,"Opposite Sandhya Theatre, RTC Cross Road, Nallakunta, Hyderabad"
61,Scoops Ice Cream,17.399622,78.491557,200.0,1.0,3.3,"Opposite Taj Mahal, Himayath Nagar, Hyderabad"
62,Burger King,17.401489,78.48606,500.0,2.0,4.0,"Unit 104 A,105 A,106,107, MPM Millennium Mall, GHMC 3-6-552 to 3-6-558,558/1, Main Road, Himayath Nagar, Hyderabad"
63,Chilly's,17.441956,78.485858,1000.0,3.0,3.8,"1-7-54/B, Raj Comfort Inn, Paradise Circle, Secunderabad"
64,Crystal Restaurant & Bar,17.406702,78.497051,700.0,2.0,3.6,"1-7-1070, Next To Sandhya Theatre, RTC Cross Road, Nallakunta, Hyderabad"
65,Hot N Tasty Chicken Shawarma,17.372629,78.499323,250.0,1.0,3.2,"Opposite Hotel Sohail, Malakpet, Hyderabad"
66,Hotel Savera,17.377237,78.492257,200.0,1.0,3.6,"Near Chaderghat Cross Road, Chaderghar, Malakpet, Hyderabad"
67,Ahadia Hotel,17.376456,78.492373,300.0,1.0,3.1,"Near Sahifa Masjid, Azampura Cross Road, Chaderghat, Malakpet, Hyderabad"
68,KMC Arabian Restaurant- A Unit of Peoples Mart,17.371909,78.499847,450.0,1.0,3.0,"16-2-664/1, 2nd Floor, Government Printing Press Road, Malakpet, Hyderabad"
69,0.0,0.0,0.0,0.0,0.0,0.0,
70,Exotica,17.410308,78.437204,1800.0,3.0,4.6,"5th Floor, 12th Square Building, Road 12, Opposite Audi Showroom, Banjara Hills, Hyderabad"
71,Pizza Hut,17.419348,78.448475,600.0,2.0,2.8,"3rd Floor, GVK One Mall, Road 1, Banjara Hills, Hyderabad"
72,Hotel City Diamond,17.403114,78.416998,400.0,1.0,3.2,"Plot 13, IAS Colony, Hakeempet, Tolichowki, Hyderabad"
73,Khan Saheb,17.405688,78.451785,350.0,1.0,3.1,"10-5-2-7/A, Banjara Hills Road 1, Masab Tank, Hyderabad"
74,Subway,17.414483,78.450139,350.0,1.0,3.8,"Opposite Axis Bank, M.S Towers, Road 1, Banjara Hills, Hyderabad"
75,Burger King,17.418699,78.448586,500.0,2.0,4.0,"3rd Floor, GVK One, Road 1, Banjara Hills, Hyderabad"
76,Indian Foodies Hub,17.411598,78.434936,800.0,2.0,4.0,"8-2-686/K/2 E3, 4th Floor, Kimtee Square, NBT Nagar, Road 12, Banjara Hills, Hyderabad"
77,Ohri's De Thali,17.435619,78.457809,900.0,2.0,4.7,"Ground Floor, Block 3, White House Building,  Greenlands Road, Kundan Bagh Colony, Begumpet, Hyderabad"
78,Rock Castle,17.421072,78.442444,1050.0,3.0,3.9,"Road 4, Banjara Hills, Hyderabad"
79,Nanking CR,17.426024,78.435136,800.0,2.0,3.8,"1st Floor, Lumbini Jewel Mall, Road 2, Banjara Hills, Hyderabad"
80,Levant Restaurant,17.425034,78.438206,1000.0,3.0,4.4,"Plot 17, Road 3, UBI Colony, Opposite Season Express, Banjara Hills, Hyderabad"
81,Sarvi Bakers & Restaurant,17.41269,78.449399,250.0,1.0,4.2,"Road 1, Opposite Care Hospital, Banjara Hills, Hyderabad"
82,KFC,17.429155,78.45022,450.0,1.0,3.8,"L&T Mall, L5, Ward 89, Block E, Panjagutta, Hyderabad"
83,Blue Fox,17.413539,78.44501,1000.0,3.0,3.8,"Plot 8-2-616, Road 11, Banjara Hills, Hyderabad"
84,Swiss Castle,17.425611,78.435472,200.0,1.0,4.0,"Opposite Lumbini Jewel Mall, Mantarai Jewellers, Road 02, Banjara Hills, Hyderabad"
85,Spice 6 - The Arab Villagio,17.411531,78.435595,1100.0,3.0,4.3,"8-2-684/B/P/12 & 13, Road 12, Banjara Hills, Hyderabad"
86,Levant Restaurant,17.425034,78.438206,1000.0,3.0,4.4,"Plot 17, Road 3, UBI Colony, Opposite Season Express, Banjara Hills, Hyderabad"
87,Al Saud Bait Al Mandi,17.305739,78.474701,500.0,2.0,3.7,"Barkas, Errakunta, Chandrayanagutta, Hyderabad"
88,Mashallah Shawarma,17.314223,78.478204,300.0,1.0,4.0,"18-11-27/6, Shop 6, Oppsite Peeli Dargah, Chandrayanagutta, Hyderabad"
89,Yum Yum Tree Arabian Food Court,17.314541,78.478287,1000.0,3.0,4.2,"18-11-28/A, Barkas Salala, Chandrayanagutta, Hyderabad"
90,Pista House,17.356443,78.473413,500.0,2.0,4.1,"Shop 20, 4-140, Shalibanda Road, Charminar, Hyderabad"
91,OYALO,17.39765,78.504753,300.0,1.0,3.5,"2-1-448/2, Street 5, Nallakunta, Hyderabad, Telangana, India"
92,Ohri's Ming's Court,17.404854,78.476556,1400.0,3.0,4.7,"5-9-30/16-20, Ohri's Cuisine Court, Opposite Old Gandhi Medical College, Basheer Bagh, Hyderabad"
93,Cafe Bahar,17.399741,78.478595,400.0,1.0,4.5,"3-5/815A, Hyderguda, Basheer Bagh, Hyderabad"
94,Chung Hua Restaurant,17.405639,78.476313,700.0,2.0,3.9,"5-9/29G, 1, Hira Mansion, Opposite Paigah Plaza, Basheer Bagh, Hyderabad"
95,Mohini Multicuisine Restaurant,17.40186,78.476094,400.0,1.0,3.9,"3-6/342, Opposite Babukhan Estate, Basheer Bagh, Hyderabad"
96,Ohri's Silver Metro,17.404959,78.476609,1200.0,3.0,4.3,"5-9-30/16-20, Ohri's Cuisine Court, Opposite Old Gandhi Medical College, Basheer Bagh, Hyderabad"
97,Gelatissimo,17.402022,78.484032,350.0,1.0,4.1,"G.S Towers, AP State Housing Board, Himayath Nagar, Hyderabad"
98,Alex's Kitchen,17.406124,78.478293,600.0,2.0,4.0,"3-6-10, Liberty Road, Himayath Nagar, Hyderabad"
99,Blue Diamond,17.39928,78.474794,800.0,2.0,4.1,"Sesodharaka Bhavan, Near Nizam College, Basheer Bagh, Hyderabad"
100,Ohri's Silver Metro,17.404959,78.476609,1200.0,3.0,4.3,"5-9-30/16-20, Ohri's Cuisine Court, Opposite Old Gandhi Medical College, Basheer Bagh, Hyderabad"
101,Laxman Ki Bandi,17.378962,78.464095,100.0,1.0,4.2,"Near Mangalhat Road, Gyan Bagh Colony, Nampally, Hyderabad"
102,Paradise Biryani,17.444498,78.462531,800.0,2.0,4.4,"Near Saptagiri Towers, Mayur Marg, Begumpet, Hyderabad"
103,Thai Pavilion - Vivanta By Taj,17.443723,78.460864,4000.0,4.0,4.3,"Vivanta By Taj, 1-10-147 & 148, Mayuri Marg, Begumpet, Hyderabad"
104,Jai Hanuman Chat Bhandar,17.435768,78.461402,100.0,1.0,3.1,"Near Sri Rajarajashwari Kirana Store, Uma Nagar, Begumpet, Hyderabad"
105,Ohri's 70mm,17.431809,78.465,1500.0,3.0,4.6,"39, Near Jalvihar Entertainment Private Limited, Necklace Road, Hyderabad"
106,Victoria Restaurant,17.467219,78.429246,500.0,2.0,3.6,"Bharath Nagar, Moosapet, Hyderabad"
107,Blue Fox,17.437458,78.445975,1000.0,3.0,3.6,"Plot No 3, Regency Plaza, Behind HUDA Mythrivanam, Ameerpet, Hyderabad, Telangana 500016"
108,Lovely Dhaba,17.474786,78.474054,300.0,1.0,3.7,"187, National Highway 44, Plassy Lines, Bowenpally, Secunderabad"
109,Lovely Dhaba,17.474786,78.474054,300.0,1.0,3.7,"187, National Highway 44, Plassy Lines, Bowenpally, Secunderabad"
110,Hotel Swagath,17.346146,78.508152,150.0,1.0,3.2,"Near Yadagiri Theatre, Santosh Nagar, Near Saroor Nagar, Hyderabad"
111,Hotel Sohail,17.372433,78.499335,700.0,2.0,3.7,"Shop 16-8-992, Beside Government Hospital, Nalgonda Cross Roads, Officers Colony, Chanchalguda, New Malakpet, Malakpet, Hyderabad"
112,Hotel Rumaan,17.328305,78.481199,500.0,2.0,4.1,"18/9/73-7/1, Circle 6, Chandrayangutta Main Road, Chandrayanagutta, Hyderabad"
113,Airport Bawarchi Restaurant,17.323435,78.480024,700.0,2.0,3.2,"CRPF Colony, Near Police Station, Chandrayanagutta, Hyderabad"
114,Alpha Hotel,17.434488,78.5006,300.0,1.0,4.2,"7-1-6/3, St. Marys Road, Railway Station Road, Secunderabad"
115,Sri Balaji Family Dhaba,17.425378,78.506835,400.0,1.0,4.0,"6-1-282/3/1, Beside Gharonda Supermarket, Opposite New Park, Padmarao Nagar, Secunderabad"
116,Sarvi Restaurant,17.412893,78.449672,850.0,2.0,4.2,"6-2-626, Opposite Care Hospital, Road 1 & 11, Banjara Hills, Hyderabad"
117,7 Seasons,17.413284,78.450657,1100.0,3.0,4.0,"6-3-248/3/1, Road 1, Beside Sakshi Office, Banjara Hills, Hyderabad"
118,Paradise Biryani,17.412368,78.465337,950.0,2.0,4.2,"NTR Gardens, Near Prasads IMAX, Saifabad, Necklace Road, Hyderabad"
119,Tabla,17.412045,78.450111,900.0,2.0,3.7,"Floor 5, Bhaskar Plaza, Road 1, Banjara Hills, Hyderabad"
120,Santosh Family Dhaba,17.41309,78.448942,600.0,2.0,3.6,"8-2-626/1/2, Ground Floor, Road 11, Near Reliance Majestic, Banjara Hills, Hyderabad"
121,Angeethi Asli Dhaba,17.415245,78.448879,1100.0,3.0,3.7,"5th Floor, City Center Mall, Road 1, Banjara Hills, Hyderabad"
122,Lassi Shop,17.409005,78.46052,200.0,1.0,3.5,"6S 2S, 146/A/4, Opposite Shadan College, Chintal Basti Bus Stop, Khairatabad, Hyderabad"
123,Subway,17.414483,78.450139,350.0,1.0,3.8,"Opposite Axis Bank, M.S Towers, Road 1, Banjara Hills, Hyderabad"
124,Sri Sai Siri Darshini,17.417954,78.457477,250.0,1.0,3.3,"6-3-650, Maheshwari Chambers, Beside Medinova, Somajiguda, Hyderabad"
125,Scoops Ice Cream,17.339068,78.56676,250.0,1.0,2.8,"Hotel Swagath Grand, Near Vishnu Theatre, Vanasthalipuram, Hyderabad"
126,Domino's Pizza,17.34042,78.563214,400.0,1.0,3.7,"Ground Floor, 5-5-708/8, Udayanandan Heights, Abhyudaya Colony, Chintalkunta, Hyderabad Vijayawada National Highway, Vanasthalipuram, Hyderabad"
127,Ankapur Village Hotel,17.339279,78.565614,750.0,2.0,2.6,"House 5-5-496, Plot 76, Prashanth Nagar, Vanasthalipuram, Hyderabad"
128,Green Bawarchi,17.368157,78.525539,550.0,2.0,3.7,"Opposite Main Bus Stand, Sharada Nagar, Dilsukhnagar, Hyderabad"
129,M S Bakers,17.452969,78.424379,100.0,1.0,3.6,"Beside Royal Garderns, Near Hanuman Temple, Moti Nagar, Hyderabad"
130,Delhi Durbar,17.463751,78.458803,500.0,2.0,4.0,"4-75/1, Madhavi Nagar, Balanagar, Hyderabad"
131,Green Bawarchi,17.463395,78.452517,500.0,2.0,3.2,"Near Shobana Bus Stop, Balanagar, Hyderabad"
132,Nice Parrivar,17.46373,78.456805,500.0,2.0,3.3,"Hotel Samrat Building, Opposite BBR Hospital, Serozguda, Balanagar, Hyderabad"
133,Simply South,17.416179,78.410065,1100.0,3.0,4.2,"Plot 258, Road 82, Near Film Nagar Club, Film Nagar, Hyderabad"
134,So. The Sky Kitchen,17.416063,78.416825,1600.0,3.0,4.1,"4th Floor, Aryans, Road 92, Near Apollo Hospital, Film Nagar, Hyderabad"
135,The Food Project,17.441029,78.390482,300.0,1.0,3.2,"Same Place Food Court, Beside Fortune Towers, Madhapur, Hyderabad"
136,Little Italy,17.416197,78.416913,2000.0,4.0,4.2,"550F, 3rd Floor, Road 92, Near Apollo Hospital, Film Nagar, Hyderabad"
137,SodaBottleOpenerWala,17.422562,78.410996,1500.0,3.0,4.5,"Unit 4, Ground Floor, Niharika Jubilee 1, Road 1, Jubilee Hills, Hyderabad"
138,China Bistro,17.422511,78.410993,1600.0,3.0,4.6,"Ground & 1st Floor, Niharika Jubilee One, Road 1, Jubilee Hills, Hyderabad"
139,Mezze Bar,17.416389,78.410846,400.0,1.0,3.4,"Cuba Drive-In, Film Nagar, Hyderabad"
140,Flavours Of TMH - Taj Mahal Hotel,17.417085,78.415544,1000.0,3.0,4.0,"Plot 570, Ground Floor, Taj Mahal Hotel, Road 92, Jubilee Hills, Hyderabad"
141,Filmy Junction by Southern Spice,17.41846,78.412203,1500.0,3.0,3.4,"Door 8 -2-293/82/F/A/3, Road 1, Film Nagar, Hyderabad"
142,Simply South,17.448422,78.379105,1200.0,3.0,3.9,"Floor 2, BK Towers, Opposite Trident Hotel, Near Cyber Towers, Hitech City, Hyderabad"
143,Shriji Rasoi,17.448835,78.356902,300.0,1.0,3.8,"HIG 29A, Opposite DLF Software Park Gate 3, Gachibowli, Hyderabad"
144,Express by ABs,17.442905,78.357374,400.0,1.0,4.1,"1st Floor, Backside Pick Up Point, Apurupa Silpi, Indiranagar, Gachibowli, Hyderabad"
145,Shanghai Chef 2,17.441769,78.357532,800.0,2.0,3.8,"76, MM Arcade, Floor 1, Above Airtel Showroom Vinayak Nagar, Gachibowli, Hyderabad"
146,Paradise Biryani,17.442356,78.356508,800.0,2.0,4.6,"Plot 22-23, Vinayaknagar, Gachibowli Main Road, Gachibowli, Hyderabad"
147,Udipi's Upahar,17.441045,78.360659,500.0,2.0,4.2,"2-21/4, Kannayalal Complex, Indira Nagar, Gachibowli, Hyderabad"
148,Eat India Company,17.442567,78.354935,1300.0,3.0,3.8,"Plot 9, 10, 11, 16, 17, 18, Survey 92/1, 92/3, 4th Floor & Terrace, Gachibowli Road, Gachibowli, Hyderabad"
149,Sardarji's Chaats & More,17.441407,78.358428,400.0,1.0,4.0,"Beside HDFC Bank, Indranagar, Gachibowli, Hyderabad"
150,Karalu Miriyal,17.451625,78.393657,1000.0,3.0,4.0,"3-821, Ayappa Society, 100 Feet Road, Madhapur, Hyderabad"
151,Shanghai Chef 2,17.441769,78.357532,800.0,2.0,3.8,"76, MM Arcade, Floor 1, Above Airtel Showroom Vinayak Nagar, Gachibowli, Hyderabad"
152,Spice Gossips,17.448817,78.35749,600.0,2.0,0,"P 33/A, 1st Floor, Ayyapa Heights, APHP Colony, Gachibowli, Hyderabad"
153,Coastal Kitchen,17.448439,78.359961,500.0,2.0,3.1,"Hig A- 64, Mahathi Chambers, APHB Colony, Gachibowli, Hyderabad"
154,Delhi Plate,17.442462,78.362102,200.0,1.0,3.6,"Thejasree Enclave, Street 1, Gachibowli Miyapur Road, Gachibowli, Hyderabad"
155,9th Food Shawarma & Biryani House,17.448694,78.35538,400.0,1.0,3.3,"Gate Number 2, DLF, Gachibowli, Hyderabad"
156,Sardarji's Chaats & More,17.441407,78.358428,400.0,1.0,4.0,"Beside HDFC Bank, Indranagar, Gachibowli, Hyderabad"
157,Kebab Pavilion - Ellaa Hotels,17.441698,78.344881,1200.0,3.0,2.8,"Ellaa Hotels, Hill Ridge Springs, Gachibowli, Hyderabad"
158,Alchemy Lounge - Ellaa Hotels,17.44169,78.344885,1900.0,3.0,3.0,"Ellaa Hotels, Hill Ridge Springs,ISB road, Gachibowli, Hyderabad"
159,Indus - Ellaa Hotels,17.441698,78.344881,1000.0,3.0,3.0,"Ellaa Hotels, Hill Ridge Springs, Gachibowli, Hyderabad"
160,Karachi Cafe,17.441369,78.358616,600.0,2.0,4.1,"2-37/123&124, Vinayak Nagar, Near Hdfc Bank, Gachibowli, Hyderabad"
161,Mandar,17.397074,78.424695,750.0,2.0,4.0,"9-4-77/F/10, Yousuf Tekri Complex, Opposite RTA Office, Tolichowki, Hyderabad"
162,Prince Hotel,17.394624,78.442283,400.0,1.0,4.1,"10-3-5/F5 & 7, Near Humayun Ps X Roads, Mehdipatnam, Hyderabad"
163,Green Chutney Tiffins,17.392443,78.437773,100.0,1.0,3.3,"Opposite St. Ann's College, Mehdipatnam, Hyderabad"
164,Anupama Hotel Veg & Non Veg,17.406073,78.464849,200.0,1.0,3.7,"Vasavi Complex, Floor 1, Beside Hotel Rajdoot, Lakdikapul, Hyderabad"
165,Hotel City Diamond,17.39423,78.440843,250.0,1.0,4.3,"Mehdipatnam Circle, Mehdipatnam, Hyderabad"
166,Prince Hotel,17.394624,78.442283,400.0,1.0,4.1,"10-3-5/F5 & 7, Near Humayun Ps X Roads, Mehdipatnam, Hyderabad"
167,Chaska Shawarma & Kabab Centre,17.388595,78.428654,200.0,1.0,3.6,"Laxmi Nagar, Khader Bagh, Pillar 68, Mehdipatnam, Hyderabad"
168,Al-Labbaik Shawarma,17.394681,78.442357,200.0,1.0,3.4,"Mujaddady Estate, Mehdipatnam, Hyderabad"
169,Al Rabea Al Arabia Restaurant,17.39525,78.432221,500.0,2.0,3.9,"H 12-2-772, Pillar 37, Rethibowli, Mehdipatnam, Hyderabad"
170,Tasty Fish Fry Point,17.39449,78.431227,200.0,1.0,0,"Street 9, Venkateswara Nagar, Durga Nagar, Rajendra Nagar, Hyderabad"
171,78 East Restaurant,17.417077,78.544154,750.0,2.0,3.1,"5th Floor, Above Sony Center, Main Road, Habsiguda, Hyderabad"
172,Hotel Suprabhat,17.419438,78.540747,200.0,1.0,3.9,"Opposite Habsiguda Metro Station, Habsiguda Cross Road, Habsiguda, Hyderabad"
173,Lock N Escape,17.415461,78.449593,750.0,2.0,3.8,"6-3-249/6/1/D, Aztec Towers, Road 1, Banjara Hills, Hyderabad"
174,Kinara Grand,17.420338,78.540103,800.0,2.0,3.4,"Opposite CCMB, Hotel Swagath Grand, Habsiguda Cross Road, Habsiguda, Hyderabad"
175,Arabian Mandi,17.418885,78.541589,300.0,1.0,3.6,"1-1-16, Nacharam X Roads, Above New Green Bawarchi, Habsiguda, Hyderabad"
176,Big Spice Restaurant & Bar,17.419403,78.54099,1000.0,3.0,3.7,"1-90/6, 1st Floor, Habsiguda Cross Roads, Habsiguda, Hyderabad"
177,Ghungroo,17.4228,78.545127,800.0,2.0,2.8,"Above HDFC Bank, Nacharam Mallapur Road, Nacharam, Secunderabad"
178,Green 7th Heaven Bakery,17.484871,78.360285,300.0,1.0,0,"House 1-54/1, Opposite Genpact, Hafeezpet, Hyderabad"
179,Firewater  Kitchen & Bar,17.448087,78.379026,1300.0,3.0,4.2,"5th Floor, Phoenix Tower A, Opposite Trident Hotel, Hitech City, Hyderabad"
180,Fast Forward,17.449438,78.38311,1200.0,3.0,3.9,"4th Floor, Opposite Hotel Avasa, Hitech City, Hyderabad"
181,Aangan - Yatri Nivas,17.442855,78.484175,1100.0,3.0,3.4,"1-8-180/B, Yatri Nivas, S P Road, Secunderabad"
182,Mandil,17.448955,78.379446,750.0,2.0,4.5,"1-90/7/B/22, 8, 9, Cyber Enclave, Opposite Trident Hotel, Hitech City, Hyderabad"
183,Chef Inam's Steak House,17.408723,78.438673,1800.0,3.0,4.1,"8-2-610, 7th Floor Silver Tower, Cross 3 Road Banjara Hills, Hyderabad"
184,Paradise Biryani,17.450383,78.379082,800.0,2.0,4.5,"Opposite Cyber Tower, Hitech City, Hyderabad"
185,Chutneys,17.452463,78.38036,600.0,2.0,4.2,"Opposite Shilparamam Main Gate, Hitech City, Hyderabad"
